timestamp,total_load_kw,irradiance
04:01.0,37.47874403,0.6
03:01.0,37.3807945,0.5
02:01.0,37.37337399,0.5
01:01.0,35.13621676,0.6
00:01.0,36.37978721,0.6
59:01.0,36.4353548,0.6
58:01.0,37.2383641,0.6
57:01.0,35.82541519,0.6
56:01.0,35.88190225,0.6
55:01.0,35.9322947,0.7
54:01.0,36.7000376,0.6
53:01.0,37.67848867,0.6
52:01.0,36.70660955,0.6
51:01.0,36.80766749,0.6
50:01.0,38.84680304,0.6
49:01.0,38.61269617,0.6
48:01.0,38.60655195,0.6
47:01.0,38.63419318,0.5
46:01.0,38.72300175,0.6
45:01.0,39.53054273,0.7
44:01.0,39.71069115,0.6
43:01.0,38.99412113,0.6
42:01.0,39.03996089,0.5
41:01.0,39.59413397,0.6
40:01.0,40.84320769,0.5
39:01.0,39.39317912,0.6
38:01.0,38.20625478,0.6
37:01.0,38.33800149,0.6
36:01.0,38.26255533,0.7
35:01.0,35.90669793,0.6
34:01.0,36.02297679,0.5
33:01.0,37.07645425,0.6
32:01.0,38.31580773,NULL
31:01.0,38.74851125,0.5
30:01.0,37.67359391,0.5
29:01.0,37.88700888,0.6
28:01.0,36.42555776,0.7
27:01.0,36.48832414,0.6
26:01.0,37.20366436,0.6
25:01.0,37.40211171,0.6
24:01.0,36.61568937,0.5
23:01.0,36.63627496,0.6
22:01.0,36.71297327,0.6
21:01.0,36.48973936,0.6
20:01.0,36.54267249,0.5
19:01.0,36.67593303,0.6
18:01.0,36.69216129,0.6
17:01.0,37.91415453,0.6
16:01.0,37.95825675,0.5
15:01.0,38.37291938,0.7
14:01.0,37.75427064,0.6
13:01.0,37.6716468,0.6
12:01.0,37.54678577,0.5
11:01.0,36.80528873,0.6
10:01.0,37.63396329,0.6
09:01.0,38.99114138,0.6
08:01.0,39.24409229,0.6
07:01.0,38.88246614,0.6
06:01.0,39.19764858,0.7
05:01.0,37.34450984,0.7
04:01.0,37.34880745,0.6
03:01.0,37.49163598,0.7
02:01.0,36.56523335,0.6
01:01.0,35.51276708,0.5
00:01.0,35.83584934,0.6
59:01.0,34.29546466,0.7
58:01.0,35.31462425,0.6
57:01.0,35.36470664,0.6
56:01.0,34.68998399,0.6
55:01.0,34.37585118,0.6
54:01.0,33.69723818,0.6
53:01.0,33.67168254,0.6
52:01.0,33.66893899,0.5
51:01.0,33.29479033,0.6
50:01.0,34.45314628,0.7
49:01.0,33.71663386,0.7
48:01.0,34.35033417,0.6
47:01.0,35.71264198,0.6
46:01.0,35.43445757,0.6
45:01.0,34.29971561,0.5
44:01.0,33.96120286,0.7
43:01.0,33.94507429,0.7
42:01.0,34.24616405,0.6
41:01.0,33.13080356,0.7
40:01.0,33.32150611,0.7
39:01.0,33.95595413,0.5
38:01.0,33.96211231,0.6
37:01.0,33.29732439,0.6
36:01.0,33.33320734,0.6
35:01.0,33.30843446,0.6
34:01.0,33.33199695,0.6
33:01.0,33.32504842,0.6
32:01.0,33.31176496,0.6
31:01.0,33.33006915,0.6
30:01.0,33.34464437,0.6
29:01.0,33.870864,0.6
28:01.0,33.97939754,0.6
27:01.0,33.07982576,0.6
26:01.0,34.09608471,0.5
25:01.0,33.37051749,0.6
24:01.0,34.56256074,0.6
23:01.0,35.16722605,0.5
22:01.0,35.20071656,0.5
21:01.0,34.04774138,0.6
20:01.0,34.63729995,0.5
19:01.0,34.82431823,0.6
18:01.0,35.70274204,0.7
17:01.0,33.31740591,0.6
16:01.0,33.3256731,0.7
15:01.0,33.39922267,0.6
14:01.0,33.36843288,0.6
13:01.0,33.68779975,0.6
12:01.0,33.68729836,0.6
11:01.0,33.83694711,0.6
10:01.0,33.98606211,0.6
09:01.0,34.04048145,0.4
08:01.0,33.17770797,0.6
07:01.0,33.42117226,0.6
06:01.0,33.39017245,0.6
05:01.0,33.43760884,0.5
04:01.0,33.42522222,0.6
03:01.0,36.48773423,0.5
02:01.0,38.87503517,0.6
